dimension,order,label,dominant_group,dominant_group_position,dominant_mean,second_mean,dominance_gap,dominant_gp_count
GP row,1,GP36,CD4.Y,1,0.326405795153758,0.0418701612645528,0.284535633889205,NA
GP row,2,GP161,CD4.Y,1,0.427107883325942,0.164122468318846,0.262985415007096,NA
GP row,3,GP6,CD4.Y,1,0.56129799333449,0.431635127999922,0.129662865334568,NA
GP row,4,GP162,CD4.Y,1,0.256259644821602,0.182288840628663,0.0739708041929394,NA
GP row,5,GP170,CD4.Y,1,0.292142898657342,0.240555731160949,0.0515871674963931,NA
GP row,6,GP72,CD4.Y,1,0.344989871663938,0.305021650396095,0.0399682212678428,NA
GP row,7,GP8,gdT.Z,2,0.420961761394312,0.13531594821409,0.285645813180223,NA
GP row,8,GP93,gdT.Z,2,0.31710190240454,0.0461321640666992,0.270969738337841,NA
GP row,9,GP107,gdT.Z,2,0.149460054449048,0.0577879890279651,0.091672065421083,NA
GP row,10,GP150,gdT.Z,2,0.136961509822662,0.101927213530934,0.0350342962917273,NA
GP row,11,GP85,gdT.Z,2,0.120548631310942,0.103722060775366,0.0168265705355759,NA
GP row,12,GP22,DN.F,3,0.418631649995198,0.277674854897297,0.140956795097901,NA
GP row,13,GP126,DN.F,3,0.23568735540559,0.0979637648800251,0.137723590525565,NA
GP row,14,GP10,DN.F,3,0.371466667884381,0.323311043013162,0.0481556248712191,NA
GP row,15,GP127,DN.F,3,0.108806227572704,0.0892485651974444,0.0195576623752593,NA
GP row,16,GP23,gdT.R,4,0.278355495462391,0.255550387111981,0.0228051083504103,NA
GP row,17,GP166,gdT.R,4,0.17606234194147,0.1688478966253,0.00721444531617052,NA
GP row,18,GP177,gdT.R,4,0.206890947394671,0.200464704805447,0.00642624258922403,NA
GP row,19,GP35,gdT.S,5,0.335310178961721,0.245580275040422,0.0897299039212995,NA
GP row,20,GP13,gdT.S,5,0.300084786729306,0.278209087326919,0.0218756994023878,NA
GP row,21,GP79,gdT.S,5,0.222297818426903,0.214362029918879,0.00793578850802379,NA
GP row,22,GP14,DP.wG,6,0.528303559260926,0.0902545367410176,0.438049022519909,NA
GP row,23,GP7,DP.wG,6,0.229282561203202,0.0432604575770764,0.186022103626126,NA
GP row,24,GP171,DP.wG,6,0.322376190223055,0.255032090378825,0.0673440998442295,NA
GP row,25,GP163,Tz.wM,7,0.187445627467525,0.165353150246306,0.0220924772212193,NA
GP row,26,GP30,Tz.wM,7,0.419271369653508,0.413801706804618,0.00546966284889028,NA
GP row,27,GP21,DN.P,8,0.298682300060636,0.273997499616335,0.0246848004443013,NA
GP row,28,GP5,DN.P,8,0.257501498737989,0.249401748285453,0.00809975045253694,NA
GP row,29,GP56,CD4.U,9,0.18565872735486,0.0674604328985881,0.118198294456272,NA
GP row,30,GP159,CD4.U,9,0.256441319621523,0.157810668962042,0.0986306506594812,NA
GP row,31,GP118,CD8.K,10,0.29524090186251,0.184903653930135,0.110337247932375,NA
GP row,32,GP25,CD8.K,10,0.349944921734639,0.348747902061594,0.00119701967304486,NA
GP row,33,GP4,CD4.wN,11,0.392783012419232,0.241108631517605,0.151674380901627,NA
GP row,34,GP43,CD4.wN,11,0.333028885157611,0.320441927292023,0.0125869578655882,NA
GP row,35,GP41,CD4.B,12,0.326718610903123,0.291929653972716,0.0347889569304077,NA
GP row,36,GP11,CD4.B,12,0.223530956551049,0.196551111917714,0.0269798446333349,NA
GP row,37,GP2,DN.wM,13,0.413646549146737,0.392912959833605,0.0207335893131317,NA
GP row,38,GP51,gdT.U,14,0.267754786794345,0.215060979816784,0.0526938069775606,NA
GP row,39,GP151,Tz.D,15,0.278508633375688,0.217326292338317,0.0611823410373702,NA
GP row,40,GP152,Treg.E,16,0.211545051775163,0.159822034120211,0.0517230176549515,NA
GP row,41,GP20,DP.wP,17,0.17403534273536,0.149806142464612,0.024229200270748,NA
GP row,42,GP153,gdT.V,18,0.101937406792314,0.098608553985997,0.0033288528063171,NA
GP row,43,GP121,CD8aa.wM,19,0.335822902150596,0.311568635906088,0.024254266244508,NA
GP row,44,GP27,Treg.D,20,0.281762037494137,0.204096115355807,0.0776659221383306,NA
GP row,45,GP68,Treg.wM,21,0.266811240313653,0.217437691464472,0.049373548849181,NA
GP row,46,GP49,gdT.E,22,0.448218696707115,0.397654744752719,0.0505639519543958,NA
GP row,47,GP63,DN.E,23,0.25179375712495,0.236861568293514,0.0149321888314359,NA
GP row,48,GP80,CD4.R,24,0.337589040020105,0.310527401332526,0.0270616386875785,NA
GP row,49,GP32,CD8.J,25,0.3749371250884,0.332202618210874,0.0427345068775259,NA
GP row,50,GP3,gdT.B,26,0.410421819947251,0.401242161657327,0.00917965828992418,NA
