"panel","lineage","gp","color","max_auc_in_lineage"
"a","CD8","GP2","#6A0100FF",0.968604941601745
"a","CD8","GP5","#FB766FFF",0.963392198248502
"a","CD8","GP10","#A75413FF",0.971967329606364
"a","CD8","GP15","#FFCE71FF",0.92832877438421
"a","CD8","GP16","#CF9500FF",0.979021267367602
"a","CD8","GP20","#201A01FF",0.915557282589714
"a","CD8","GP25","#FCFF7CFF",0.96462710073396
"a","CD8","GP26","#ABBC00FF",0.939323069668291
"a","CD8","GP29","#628402FF",0.94155439016047
"a","CD8","GP32","#60D900FF",0.909105385074736
"a","CD8","GP37","#00FF00FF",0.922651046963616
"a","CD8","GP44","#005300FF",0.912806912614089
"a","CD8","GP58","#39A76AFF",0.933065726162465
"a","CD8","GP77","#004250FF",0.922867675695392
"a","CD8","GP80","#009FFFFF",0.924493258507487
"a","CD8","GP118","#A192FFFF",0.953290449541794
"b","CD4","GP1","#FF0000FF",0.932988688841445
"b","CD4","GP2","#6A0100FF",0.965318592461022
"b","CD4","GP4","#FD4440FF",0.948045588361904
"b","CD4","GP5","#FB766FFF",0.979080590895188
"b","CD4","GP6","#9A4D42FF",0.992453381215331
"b","CD4","GP10","#A75413FF",0.963952537910281
"b","CD4","GP12","#B58354FF",0.966651050488243
"b","CD4","GP13","#563500FF",0.960771645562056
"b","CD4","GP16","#CF9500FF",0.959300741074147
"b","CD4","GP21","#FFF2BBFF",0.917590727340494
"b","CD4","GP25","#FCFF7CFF",0.962858532159603
"b","CD4","GP26","#ABBC00FF",0.914585688172986
"b","CD4","GP36","#A4FF73FF",0.980142220267991
"b","CD4","GP56","#02AD24FF",0.93828016044168
"b","CD4","GP72","#1F9698FF",0.986457521268663
"b","CD4","GP79","#0079A8FF",0.961799527905203
"b","CD4","GP80","#009FFFFF",0.920980224914054
"b","CD4","GP152","#EE70FEFF",0.966950125969904
"b","CD4","GP161","#A55DAEFF",0.924253734281554
"b","CD4","GP162","#422D42FF",0.915998336961038
"b","CD4","GP170","#A6009AFF",0.929876990200179
"b","CD4","GP177","#D4ADC5FF",0.96488344429655
"c","Treg","GP2","#6A0100FF",0.944720702181966
"c","Treg","GP5","#FB766FFF",0.97237531134051
"c","Treg","GP6","#9A4D42FF",0.943916656899643
"c","Treg","GP12","#B58354FF",0.927318562545514
"c","Treg","GP15","#FFCE71FF",0.956430614262573
"c","Treg","GP21","#FFF2BBFF",0.901931624296114
"c","Treg","GP25","#FCFF7CFF",0.900076765946599
"c","Treg","GP27","#C8FF00FF",0.98788304658898
"c","Treg","GP68","#005D43FF",0.976195025415053
"c","Treg","GP152","#EE70FEFF",0.977156264535223
"c","Treg","GP196","#F1085CFF",0.91992593644527
"d","gdT","GP1","#FF0000FF",0.94616846731374
"d","gdT","GP2","#6A0100FF",0.969143499800657
"d","gdT","GP3","#A10300FF",0.97604892011967
"d","gdT","GP6","#9A4D42FF",0.981957109458386
"d","gdT","GP7","#FFB79FFF",0.995045421163133
"d","gdT","GP8","#FE8F42FF",0.997140045621447
